Lexington, KY: Blue Grass,LEX,42410
Phoenix, AZ: Phoenix - Mesa Gateway,AZA,41999
Burlington, VT: Burlington International,BTV,41699
Atlantic City, NJ: Atlantic City International,ACY,40962
Huntsville, AL: Huntsville International-Carl T Jones Field,HSV,40449
Midland/Odessa, TX: Midland International Air and Space Port,MAF,40235
Eugene, OR: Mahlon Sweet Field,EUG,39313
Trenton, NJ: Trenton Mercer,TTN,37884
Bozeman, MT: Bozeman Yellowstone International,BZN,37676
Columbia, SC: Columbia Metropolitan,CAE,36058
Sioux Falls, SD: Joe Foss Field,FSD,35883
Chattanooga, TN: Lovell Field,CHA,34891
Springfield, MO: Springfield-Branson National,SGF,33889
Lubbock, TX: Lubbock Preston Smith International,LBB,33713
Medford, OR: Rogue Valley International - Medford,MFR,33478
Punta Gorda, FL: Punta Gorda Airport,PGD,33438
Valparaiso, FL: Eglin AFB Destin Fort Walton Beach,VPS,32280
Wilmington, NC: Wilmington International,ILM,32265
Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International,JAN,32040
Allentown/Bethlehem/Easton, PA: Lehigh Valley International,ABE,31097
Bend/Redmond, OR: Roberts Field,RDM,30678
Fairbanks, AK: Fairbanks International,FAI,30670
Hilo, HI: Hilo International,ITO,30630
Fargo, ND: Hector International,FAR,29647
Pasco/Kennewick/Richland, WA: Tri Cities,PSC,28455
Santa Barbara, CA: Santa Barbara Municipal,SBA,28395
Panama City, FL: Northwest Florida Beaches International,ECP,27948
Mission/McAllen/Edinburg, TX: McAllen Miller International,MFE,27852
Akron, OH: Akron-Canton Regional,CAK,27455
Everett, WA: Snohomish County,PAE,27222
South Bend, IN: South Bend International,SBN,27019
Missoula, MT: Missoula International,MSO,26667
Billings, MT: Billings Logan International,BIL,26429
Bellingham, WA: Bellingham International,BLI,26374
Fort Wayne, IN: Fort Wayne International,FWA,26001
Charlottesville, VA: Charlottesville Albemarle,CHO,24606
Appleton, WI: Appleton International,ATW,24540
Peoria, IL: General Downing - Peoria International,PIA,23776
Tallahassee, FL: Tallahassee International,TLH,23712
Moline, IL: Quad City International,MLI,23347
Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field,BTR,23143
Aguadilla, PR: Rafael Hernandez,BQN,22799
Amarillo, TX: Rick Husband Amarillo International,AMA,22442
Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field,ROA,20906
Augusta, GA: Augusta Regional at Bush Field,AGS,20816
Flint, MI: Bishop International,FNT,20561
Green Bay, WI: Green Bay Austin Straubel International,GRB,20360
Charlotte Amalie, VI: Cyril E King,STT,20358
Bismarck/Mandan, ND: Bismarck Municipal,BIS,20030
Harlingen/San Benito, TX: Valley International,HRL,19758
Shreveport, LA: Shreveport Regional,SHV,19603
Corpus Christi, TX: Corpus Christi International,CRP,19375
Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International,AVP,19181
Daytona Beach, FL: Daytona Beach International,DAB,19087
Gainesville, FL: Gainesville Regional,GNV,17689
Rapid City, SD: Rapid City Regional,RAP,17650
Kalispell, MT: Glacier Park International,FCA,17286
San Luis Obispo, CA: San Luis County Regional,SBP,16945
Mobile, AL: Mobile Regional,MOB,16866
Bangor, ME: Bangor International,BGR,16786
Juneau, AK: Juneau International,JNU,16737
Lafayette, LA: Lafayette Regional Paul Fournet Field,LFT,16584
Gulfport/Biloxi, MS: Gulfport-Biloxi International,GPT,15667
Bloomington/Normal, IL: Central Il Regional Airport at Bloomington,BMI,15342
Santa Rosa, CA: Charles M. Schulz - Sonoma County,STS,15303
Traverse City, MI: Cherry Capital,TVC,15167
Evansville, IN: Evansville Regional,EVV,14899
Grand Junction, CO: Grand Junction Regional,GJT,14544
Melbourne, FL: Melbourne International,MLB,13911
Jackson, WY: Jackson Hole,JAC,13881
Fayetteville, NC: Fayetteville Regional/Grannis Field,FAY,13787
Key West, FL: Key West International,EYW,13756
Bristol/Johnson City/Kingsport, TN: Tri Cities,TRI,13712
Charleston/Dunbar, WV: Yeager,CRW,13498
Latrobe, PA: Arnold Palmer Regional,LBE,13481
Concord, NC: Concord Padgett Regional,USA,13251
Newport News/Williamsburg, VA: Newport News/Williamsburg International,PHF,13193
Belleville, IL: Scott AFB/MidAmerica,BLV,12844
Newburgh/Poughkeepsie, NY: New York Stewart International,SWF,12777
Monterey, CA: Monterey Regional,MRY,12681
Columbus, OH: Rickenbacker International,LCK,12667
Aspen, CO: Aspen Pitkin County Sardy Field,ASE,11733
State College, PA: University Park,SCE,11236
Great Falls, MT: Great Falls International,GTF,11210
Minot, ND: Minot International,MOT,10713
Jacksonville/Camp Lejeune, NC: Albert J Ellis,OAJ,10658
Plattsburgh, NY: Plattsburgh International,PBG,10384
Durango, CO: Durango La Plata County,DRO,10257
Montgomery, AL: Montgomery Regional,MGM,10214
Rochester, MN: Rochester International,RST,10095
Lansing, MI: Capital Region International,LAN,10041
Idaho Falls, ID: Idaho Falls Regional,IDA,10031
Elmira/Corning, NY: Elmira/Corning Regional,ELM,10018
Niagara Falls, NY: Niagara Falls International,IAG,9879
Killeen, TX: Robert Gray AAF,GRK,9650
Rockford, IL: Chicago/Rockford International,RFD,9207
Kalamazoo, MI: Kalamazoo/Battle Creek International,AZO,9187
Duluth, MN: Duluth International,DLH,9142
Lincoln, NE: Lincoln Airport,LNK,8984
Bakersfield, CA: Meadows Field,BFL,8979
Toledo, OH: Toledo Express,TOL,8509
Mosinee, WI: Central Wisconsin,CWA,8438
Columbia, MO: Columbia Regional,COU,8232
Ashland, WV: Tri-State/Milton J. Ferguson Field,HTS,8225
Christiansted, VI: Henry E. Rohlsen,STX,8172
Saginaw/Bay City/Midland, MI: MBS International,MBS,8054
Stockton, CA: Stockton Metropolitan,SCK,7880
Grand Forks, ND: Grand Forks International,GFK,7667
New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional,EWN,7603
Worcester, MA: Worcester Regional,ORH,7166
Champaign/Urbana, IL: University of Illinois/Willard,CMI,6957
Provo, UT: Provo Municipal,PVU,6943
Helena, MT: Helena Regional,HLN,6939
Brownsville, TX: Brownsville South Padre Island International,BRO,6935
Ketchikan, AK: Ketchikan International,KTN,6860
Ponce, PR: Mercedita,PSE,6833
Monroe, LA: Monroe Regional,MLU,6754
Ithaca/Cortland, NY: Ithaca Tompkins Regional,ITH,6729
Alexandria, LA: Alexandria International,AEX,6686
Santa Fe, NM: Santa Fe Municipal,SAF,6585
Flagstaff, AZ: Flagstaff Pulliam,FLG,6462
Erie, PA: Erie International/Tom Ridge Field,ERI,6328
La Crosse, WI: La Crosse Regional,LSE,6313
Lynchburg, VA: Lynchburg Regional/Preston Glenn Field,LYH,6302
Montrose/Delta, CO: Montrose Regional,MTJ,6155
Eagle, CO: Eagle County Regional,EGE,6037
Casper, WY: Casper/Natrona County International,CPR,5950
Laredo, TX: Laredo International,LRD,5910
Yuma, AZ: Yuma MCAS/Yuma International,YUM,5894
St. George, UT: St George Regional,SGU,5868
Guam, TT: Guam International,GUM,5842
Fort Smith, AR: Fort Smith Regional,FSM,5635
Abilene, TX: Abilene Regional,ABI,5304
Arcata/Eureka, CA: California Redwood Coast Humboldt County,ACV,5304
College Station/Bryan, TX: Easterwood Field,CLL,5220
Bethel, AK: Bethel Airport,BET,5154
