4E,\N,MCG,5965,TCT,7215,,0,PAG,14 
4E,\N,NIB,7214,MCG,5965,,0,PAG,40 
4E,\N,TCT,7215,TLJ,3423,,0,PAG,7 
4E,\N,TLJ,3423,MCG,5965,,0,PAG,12 
4M,3201,DFW,3670,EZE,3988,Y,0,777,5286 
4M,3201,EZE,3988,DFW,3670,Y,0,777,5286 
4M,3201,EZE,3988,JFK,3797,Y,0,777,5282 
4M,3201,EZE,3988,MIA,3576,,0,777 763,4406 
4M,3201,JFK,3797,EZE,3988,Y,0,777,5282 
4M,3201,MIA,3576,EZE,3988,,0,777 763,4406 
4M,3201,MIA,3576,PUJ,1760,,0,763,911 
4M,3201,PUJ,1760,MIA,3576,,0,763,911 
4O,17885,GDL,1804,SAT,3621,,0,320,690 
4O,17885,GDL,1804,SNA,3867,,0,320,1272 
4O,17885,JFK,3797,MEX,1824,,0,320,2090 
4O,17885,LAS,3877,MTY,1825,,0,320,1139 
4O,17885,LAS,3877,TLC,1850,,0,320,1493 
4O,17885,MEX,1824,JFK,3797,,0,320,2090 
4O,17885,MEX,1824,MIA,3576,,0,320,1276 
4O,17885,MEX,1824,SAT,3621,,0,320,696 
4O,17885,MEX,1824,SNA,3867,,0,320,1517 
4O,17885,MIA,3576,MEX,1824,,0,320,1276 
4O,17885,MTY,1825,LAS,3877,,0,320,1139 
4O,17885,MTY,1825,SAT,3621,,0,320,277 
4O,17885,SAT,3621,GDL,1804,,0,320,690 
4O,17885,SAT,3621,MEX,1824,,0,320,696 
4O,17885,SAT,3621,MTY,1825,,0,320,277 
4O,17885,SAT,3621,TLC,1850,,0,320,705 
4O,17885,SNA,3867,GDL,1804,,0,320,1272 
4O,17885,SNA,3867,MEX,1824,,0,320,1517 
4O,17885,TLC,1850,LAS,3877,,0,320,1493 
4O,17885,TLC,1850,SAT,3621,,0,320,705 
4W,\N,AKP,6712,FAI,3832,,0,PA2,254 
4W,\N,BTT,3417,AKP,6712,,0,PA2,85 
4W,\N,BTT,3417,CXF,7119,,0,PA2,43 
4W,\N,CEM,7116,IRC,7236,,0,PA2,27 
4W,\N,CIK,7105,FAI,3832,,0,PA2,173 
4W,\N,CIK,7105,FYU,3420,,0,PA2,42 
4W,\N,CXF,7119,AKP,6712,,0,PA2,73 
4W,\N,FAI,3832,BTT,3417,,0,PA2,179 
4W,\N,FAI,3832,CEM,7116,,0,PA2,104 
4W,\N,FAI,3832,CIK,7105,,0,PA2,173 
