3837,GKN
3838,ART
3839,PSP
3840,AMA
3841,FOD
3842,BAD
3843,FOE
3844,COT
3845,ILM
3846,BTR
3848,TYR
3849,BWI
3850,HBR
3851,LNY
3852,AEX
3853,WSD
3854,CDB
3855,TUL
3856,SIT
3857,ISP
3858,MSP
3859,ILG
3860,DUT
3861,MSY
3862,PWM
3863,OKC
3864,ALB
3865,VDZ
3866,LFI
3867,SNA
3868,CBM
3869,TMB
3870,NTU
3871,GUS
3872,CPR
3873,VPS
3874,SEM
3875,EYW
3876,CLT
3877,LAS
3878,MCO
3879,FLO
3880,GTF
3881,YNG
3882,FBK
3884,WRB
3944,PUW
3945,LWS
3946,ELM
3947,ITH
3948,MRY
3949,SBA
3950,DAB
3993,JRB
4004,TKA
4006,HVN
4007,AVL
4008,GSO
4009,FSD
4011,MHT
4012,APF
4014,SDF
4015,CHO
4016,ROA
4017,LEX
4018,EVV
4019,ABQ
4020,BZN
4021,BIL
4022,BTM
4023,TVC
4025,BHB
4026,RKD
4027,JAC
4028,RFD
4034,GSP
4037,BMI
4038,GPT
4039,AZO
4040,TOL
4041,FWA
4042,DEC
4043,CID
4044,LSE
4045,CWA
4046,PIA
4047,ATW
4048,RST
4049,CMI
4050,MHK
4058,FKL
4063,GJT
4064,SGU
4065,DWH
4067,SRQ
4071,VNY
4072,MLI
4073,PFN
4083,BIS
4084,TEX
4087,RAP
4088,CLD
4089,FNT
4098,RDD
4099,EUG
4100,IDA
4101,MFR
4103,RDM
4112,CAK
4113,HSV
4114,PKB
4115,MGM
4116,TRI
4117,PAH
4124,PGA
4127,FCA
4128,MBS
4129,BGM
4136,BLH
4147,PSG
4167,SFB
4169,JST
4216,MSO
4219,GCN
4220,SGR
4222,APA
4223,CVN
4224,FST
4225,LVS
4226,IWS
4228,LRU
4229,BKD
4230,TPL
4231,OZA
4250,EGE
4253,CGF
4254,MFD
4255,CSG
4256,LAW
4257,FNL
4261,FLG
4262,TVL
4263,TWF
4265,MVY
4268,CON
4270,GON
4271,STC
4273,GTR
4275,HQM
4276,ERI
4278,HYA
