ABE,CLT,480
ABE,PHL,55
ABI,DFW,158
ABQ,DFW,569
ABQ,LAX,677
ABQ,ORD,1118
ABQ,PHX,328
ABZ,LHR,403
ACC,LHR,3159
ACT,DFW,89
ADL,BNE,1007
ADL,SYD,725
AEX,DFW,285
AGP,LHR,1041
AGS,CLT,140
AGS,DCA,468
AGU,DFW,836
AKL,BNE,1428
AKL,PPT,2544
AKL,SYD,1345
ALB,CLT,646
ALB,DCA,318
ALB,PHL,212
ALO,ORD,234
AMA,DFW,312
AMM,JFK,5738
AMM,ORD,6236
AMM,YUL,5541
AMS,LHR,231
AMS,PHL,3736
ANC,LAX,2345
ANC,PHX,2551
ANU,CLT,1715
ANU,JFK,1770
ANU,MIA,1330
AQP,LIM,475
ARN,LHR,911
ART,ORD,617
ART,PHL,287
ASP,SYD,1256
ASU,MIA,3824
ATH,LHR,1510
ATH,PHL,5035
ATL,CLT,227
ATL,DFW,731
ATL,LHR,4211
ATL,MIA,595
ATL,ORD,606
ATL,PHL,666
ATL,PHX,1587
AUA,CLT,1706
AUA,MIA,1133
AUA,PHL,1911
AUH,CMB,2049
AUH,DUS,3126
AUH,IAD,7088
AUH,ISB,1264
AUH,JFK,6867
AUH,LHE,1300
AUH,LHR,3432
AUH,MCT,237
AUH,ORD,7275
AUS,CLT,1032
AUS,DFW,190
AUS,JFK,1521
AUS,LAX,1242
AUS,LHR,4915
AUS,MSY,444
AUS,ORD,978
AUS,PHL,1430
AUS,PHX,872
AVL,CLT,92
AVP,CLT,509
AVP,PHL,104
AZO,ORD,122
BAH,DOH,92
BAH,LHR,3169
BCN,JFK,3831
BCN,LHR,713
BCN,MIA,4697
BCN,PHL,3924
BDA,JFK,762
BDA,MIA,1046
BDA,PHL,785
BDL,CLT,644
BDL,DCA,313
BDL,DFW,1471
BDL,LAX,2527
BDL,MIA,1194
BDL,ORD,783
BDL,PHL,196
BDL,PIT,406
BGI,MIA,1611
BGM,PHL,166
BGO,LHR,649
BGR,DCA,590
BGR,PHL,473
BHD,LHR,313
BHM,CLT,351
BHM,DCA,653
BHM,DFW,597
BHM,MIA,661
BHM,PHL,772
BJL,DKR,112
BJX,DFW,864
BKK,KUL,754
BKK,NRT,2889
BLQ,LHR,724
BLR,LHR,5004
BMI,DFW,690
BMI,ORD,116
BNA,CLT,329
BNA,DCA,562
BNA,DFW,631
BNA,JFK,765
BNA,LAX,1797
BNA,LGA,764
BNA,MIA,806
BNA,ORD,409
BNA,PHL,675
BNE,ADL,1007
BNE,AKL,1428
BNE,CBR,593
BNE,CNS,862
BNE,DRW,1771
BNE,LAX,7161
BNE,MEL,857
BNE,PER,2246
BNE,SYD,467
BNE,TSV,690
BOG,DFW,2438
BOG,MIA,1506
BOI,PHX,735
BOM,LHR,4487
BOS,BUF,396
BOS,CLT,728
BOS,CUN,1735
BOS,DCA,399
BOS,DFW,1562
BOS,JFK,187
BOS,LAX,2611
BOS,LGA,185
BOS,LHR,3265
BOS,MAD,3410
BOS,MDT,335
BOS,MIA,1258
BOS,NRT,6702
BOS,ORD,867
BOS,PDX,2537
BOS,PHL,280
BOS,PHX,2300
BOS,PIT,496
BOS,RIC,474
BOS,ROC,343
BOS,SAN,2588
BOS,SEA,2496
BOS,SYR,265
BPT,DFW,270
BRO,DFW,482
BRU,LHR,218
BRU,PHL,3760
BSB,MIA,3599
BSL,LHR,448
BTR,CLT,675
BTR,DFW,383
BTV,DCA,437
BTV,PHL,335
BUD,LHR,928
BUF,BOS,396
BUF,CLT,546
BUF,DCA,296
BUF,ORD,473
BUF,PHL,279
BUR,PDX,817
BUR,PHX,369
BUR,SEA,937
BWI,CLT,361
BWI,DFW,1217
BWI,JFK,184
BWI,LHR,3634
BWI,MIA,946
BWI,ORD,621
BWI,PHL,90
BWI,PHX,1999
BZE,CLT,1299
BZE,DFW,1189
BZE,MIA,767
CAE,CLT,88
CAE,DCA,408
CAE,DFW,922
CAE,PHL,523
CAK,CLT,394
CAK,DCA,274
CAK,PHL,335
CBR,BNE,593
CBR,MEL,292
CBR,SYD,147
CCS,DFW,2450
CCS,JFK,2109
CCS,MIA,1360
CCS,SJU,543
CDG,CLT,4174
CDG,DFW,4948
CDG,JFK,3635
CDG,KUL,6492
CDG,LHR,216
CDG,MIA,4589
CDG,ORD,4152
CDG,PHL,3728
CHA,CLT,242
CHA,DCA,523
CHA,DFW,695
CHA,ORD,501
CHC,SYD,1323
CHO,CLT,245
CHO,LGA,305
CHO,ORD,566
CHO,PHL,210
CHS,CLT,168
CHS,DCA,444
CHS,DFW,987
CHS,MIA,490
CHS,PHL,550
CID,DFW,685
CID,ORD,196
CLE,CLT,430
CLE,DFW,1021
CLE,JFK,425
CLE,MIA,1080
CLE,ORD,316
CLE,PHL,363
CLL,DFW,164
CLO,MIA,1552
CLT,ABE,480
CLT,AGS,140
CLT,ALB,646
CLT,ANU,1715
CLT,ATL,227
CLT,AUA,1706
CLT,AUS,1032
CLT,AVL,92
CLT,AVP,509
CLT,BDL,644
CLT,BHM,351
CLT,BNA,329
CLT,BOS,728
CLT,BTR,675
CLT,BUF,546
CLT,BWI,361
CLT,BZE,1299
CLT,CAE,88
CLT,CAK,394
CLT,CDG,4174
CLT,CHA,242
CLT,CHO,245
CLT,CHS,168
CLT,CLE,430
CLT,CMH,347
CLT,CRW,221
CLT,CUN,1041
CLT,CVG,335
CLT,CZM,1075
CLT,DAB,416
CLT,DAY,370
CLT,DCA,331
CLT,DEN,1338
CLT,DFW,936
CLT,DSM,815
CLT,DTW,500
CLT,DUB,3720
CLT,EWN,221
CLT,EWR,528
CLT,FAY,118
CLT,FCO,4812
CLT,FLL,631
CLT,FLO,99
CLT,FPO,611
CLT,FRA,4396
CLT,GCM,1097
CLT,GNV,388
CLT,GPT,577
CLT,GRU,4623
CLT,GSO,83
CLT,GSP,76
CLT,HPN,564
CLT,HSV,333
CLT,HTS,235
